"FID"	"phen"	"x"	"y"	"n_eggs_max"	"pldens_3"	"phen_n3"
3673	4	1499932.91	-24.54692636	0	23.9500298818	3.54521963824289
3674	4	1499932.819	-24.55115971	0	23.7752785571	3.52141057934509
3675	4	1499932.819	-24.55115971	0	23.7752785571	3.52141057934509
3676	4	1499932.726	-24.54692636	0	23.5964607024	3.51225490196078
3677	2	1499932.669	-25.23061106	0	25.5291554561	3.60491071428571
3678	4	1499932.618	-25.15229424	0	25.8309142062	3.57883369330454
3679	2	1499932.618	-25.15229424	0	25.8309142062	3.58315334773218
3680	4	1499932.07	-24.34584263	0	21.1033150707	3.4527027027027
3681	2	1499932.074	-24.49400959	0	21.459686221	3.49213483146067
3682	6	1499931.943	-24.89194372	0	22.4139814808	3.51950718685832
3683	3	1499931.943	-24.89194372	0	22.4139814808	3.52566735112936
3684	4	1499931.951	-25.0824441	0	23.1988596075	3.53876739562624
3685	1	1499931.79	-25.10572748	0	22.6330214926	3.55294117647059
3686	4	1499931.79	-25.10572748	0	22.6330214926	3.54705882352941
3687	4	1499931.79	-25.10572748	0	22.6330214926	3.54705882352941
3688	4	1499931.79	-25.10572748	0	22.6330214926	3.54705882352941
3689	4	1499931.79	-25.10572748	0	22.6330214926	3.54705882352941
3690	2	1499931.79	-25.10572748	0	22.6330214926	3.55098039215686
3691	3	1499931.79	-25.10572748	0	22.6330214926	3.54901960784314
3692	1	1499931.79	-25.10572748	0	22.6330214926	3.55294117647059
3693	1	1499931.79	-25.10572748	0	22.6330214926	3.55294117647059
3694	6	1499931.615	-24.32679259	0	19.5901387365	3.42231947483589
3695	6	1499931.566	-25.15229424	0	21.2918528937	3.56150793650794
3696	2	1499931.566	-25.15229424	0	21.2918528937	3.56944444444444
3697	5	1499931.566	-25.15229424	0	21.2918528937	3.56349206349206
3698	4	1499931.566	-25.15229424	0	21.2918528937	3.56547619047619
3699	4	1499931.566	-25.15229424	0	21.2918528937	3.56547619047619
3700	4	1499931.566	-25.15229424	0	21.2918528937	3.56547619047619
3701	2	1499931.566	-25.15229424	0	21.2918528937	3.56944444444444
3702	3	1499931.566	-25.15229424	0	21.2918528937	3.56746031746032
3703	4	1499931.272	-25.15864425	0	19.7168543051	3.55465587044534
3704	5	1499931.272	-25.15864425	2	19.7168543051	3.55263157894737
3705	3	1499931.272	-25.15864425	0	19.7168543051	3.55668016194332
3706	3	1499931.272	-25.15864425	0	19.7168543051	3.55668016194332
3707	3	1499931.869	-23.65157457	0	20.2965461045	3.31306306306306
3708	4	1499931.721	-23.34465729	0	19.5675276835	3.24330357142857
3709	1	1499931.572	-23.97965856	0	19.7125218716	3.36521739130435
3710	3	1499931.574	-24.08337544	0	19.59425603	3.39393939393939
3711	6	1499931.574	-24.08337544	0	19.59425603	3.38744588744589
3712	2	1499931.574	-24.08337544	0	19.59425603	3.3961038961039
3713	3	1499931.574	-24.08337544	0	19.59425603	3.39393939393939
3714	6	1499931.464	-24.2463591	0	18.9959698223	3.40350877192982
3715	2	1499931.464	-24.2463591	0	18.9959698223	3.41228070175439
3716	6	1499931.371	-23.39334072	0	19.5111516363	3.15598290598291
3717	6	1499931.577	-24.08337544	0	19.6029076671	3.38744588744589
3718	2	1499931.414	-23.65369124	0	19.6692321868	3.27083333333333
3719	5	1499931.416	-23.74259142	0	19.6362623397	3.26359832635983
3720	3	1499931.416	-23.74259142	0	19.6362623397	3.26778242677824
3721	3	1499931.416	-23.74259142	0	19.6362623397	3.26778242677824
3722	5	1499931.416	-23.74259142	0	19.6362623397	3.26359832635983
3723	3	1499931.416	-23.74259142	0	19.6362623397	3.26778242677824
3724	4	1499931.416	-23.74259142	0	19.6362623397	3.26569037656904
3725	6	1499931.416	-23.74259142	0	19.6362623397	3.26150627615063
3726	6	1499931.272	-23.48435757	0	19.2379023779	3.18371607515658
3727	4	1499931.27	-23.89287506	0	19.190760612	3.32848232848233
3728	5	1499931.27	-23.89287506	0	19.190760612	3.32640332640333
